hiryou,Price,N,P,K
牛ふん堆肥,0.084740741,0.018,0.025,0.024
発酵鶏ふん,0.1211,0.02,0.067,0.045
豚ふん堆肥,0.125,0.0161,0.0211,0.0133
油かす,0.3978,0.03,0.07,0.04
魚粉,1.386266094,0.06,0.06,0
骨粉,0.4836,0.04,0.16,0
米ぬか,1.48,0.0269,0.0234,0.0176
もみ殻,0.408333333,0.0032,0.0003,0.0031
草木灰,1.02,0,0.19,0.14
腐葉土,0.101851852,0.0084,0.0008,0.0042
化学肥料/普通化成肥料（8－8－8）,0.566666667,0.08,0.08,0.08
高度化成肥料(14-14-14),1.078,0.14,0.14,0.14
尿素,0.764,0.46,0,0
硫安,0.427142857,0.21,0,0
塩安,1.98,0.25,0,0
石灰窒素,0.856,0.2,0,0
過りん酸石灰,1.457142857,0,0.175,0
よう成りん肥,0.5455,0,0.2,0
塩化加里,0.264,0,0,0.6
硫酸加里,0.524285714,0,0,0.5
